Date,Currency,M1,M2,M3,DAX,DAX/Currency,DAX/M1,DAX/M2,DAX/M3
11/30/06,574070,3617914,6556170,7652322,6309,"10,990","1,744",962,824
12/31/06,579206,3696019,6663329,7753569,6597,"11,390","1,785",990,851
1/31/07,582166,3696560,6705357,7838901,6789,"11,662","1,837","1,012",866
2/28/07,586058,3718712,6739280,7889608,6715,"11,459","1,806",996,851
3/31/07,592039,3746750,6825507,8008864,6917,"11,683","1,846","1,013",864
4/30/07,594895,3744814,6850746,8032194,7409,"12,454","1,978","1,081",922
5/31/07,598220,3773413,6917829,8131881,7883,"13,177","2,089","1,140",969
6/30/07,601388,3794192,6987296,8206302,8007,"13,315","2,110","1,146",976
7/31/07,606047,3821040,7057569,8290084,7584,"12,514","1,985","1,075",915
8/31/07,610192,3810958,7100108,8344331,7638,"12,518","2,004","1,076",915
9/30/07,612128,3831681,7161755,8418602,7862,"12,843","2,052","1,098",934
10/31/07,617367,3829110,7267682,8541400,8019,"12,989","2,094","1,103",939
11/30/07,620797,3854352,7323179,8631497,7871,"12,678","2,042","1,075",912
12/31/07,625818,3839555,7356073,8647959,8067,"12,891","2,101","1,097",933
1/31/08,628747,3852397,7440745,8793038,6852,"10,897","1,779",921,779
2/29/08,634717,3845184,7505318,8843329,6748,"10,632","1,755",899,763
3/31/08,637093,3859561,7536659,8867136,6535,"10,257","1,693",867,737
4/30/08,643088,3840284,7616022,8940964,6949,"10,805","1,809",912,777
5/31/08,645540,3857591,7674618,9020742,7097,"10,994","1,840",925,787
6/30/08,648817,3857729,7700435,9044137,6418,"9,892","1,664",834,710
7/31/08,651200,3828594,7750811,9107460,6480,"9,950","1,692",836,711
8/31/08,654945,3822371,7787840,9143592,6422,"9,806","1,680",825,702
9/30/08,660529,3884458,7865188,9224888,5831,"8,828","1,501",741,632
10/31/08,700957,3977681,8010727,9369285,4988,"7,116","1,254",623,532
11/30/08,705333,3967905,8035211,9387004,4669,"6,620","1,177",581,497
12/31/08,710943,3992578,8041762,9402372,4810,"6,766","1,205",598,512
1/31/09,717157,4091136,8089401,9402776,4338,"6,049","1,060",536,461
2/28/09,721740,4132097,8112143,9436867,3844,"5,326",930,474,407
3/31/09,726363,4147215,8093515,9403303,4085,"5,624",985,505,434
4/30/09,730086,4190537,8145669,9451115,4769,"6,533","1,138",586,505
5/31/09,731494,4207878,8140833,9421585,4941,"6,754","1,174",607,524
6/30/09,732580,4258226,8155197,9428787,4809,"6,564","1,129",590,510
7/31/09,736606,4314634,8184207,9433131,5332,"7,239","1,236",652,565
8/31/09,740145,4346194,8176976,9387590,5465,"7,383","1,257",668,582
9/30/09,744300,4400713,8189516,9414236,5675,"7,625","1,290",693,603
10/31/09,747082,4448680,8195862,9383509,5415,"7,248","1,217",661,577
11/30/09,752075,4467737,8181093,9354834,5626,"7,481","1,259",688,601
12/31/09,757006,4499550,8207839,9349315,5957,"7,870","1,324",726,637
1/31/10,761587,4545385,8220765,9324051,5609,"7,365","1,234",682,602
2/28/10,765485,4568331,8228832,9323604,5598,"7,314","1,225",680,600
3/31/10,769916,4580958,8230444,9332304,6154,"7,992","1,343",748,659
4/30/10,773213,4632696,8264563,9377955,6136,"7,935","1,324",742,654
5/31/10,779296,4649309,8283333,9388633,5964,"7,653","1,283",720,635
6/30/10,783363,4674690,8314433,9240895,5966,"7,615","1,276",717,646
7/31/10,784955,4680518,8331067,9234411,6148,"7,832","1,314",738,666
8/31/10,788014,4693166,8367919,9264711,5925,"7,519","1,263",708,640
9/30/10,788812,4676240,8367910,9272702,6229,"7,897","1,332",744,672
10/31/10,790351,4678750,8387527,9268660,6601,"8,352","1,411",787,712
11/30/10,793412,4687979,8404159,9287184,6688,"8,430","1,427",796,720
12/31/10,795300,4710694,8423299,9298808,6914,"8,694","1,468",821,744
1/31/11,801182,4715716,8436054,9318798,7077,"8,834","1,501",839,759
2/28/11,803074,4718429,8444617,9327053,7272,"9,056","1,541",861,780
3/31/11,805292,4727336,8458122,9345311,7041,"8,744","1,489",832,753
4/30/11,806960,4712016,8456009,9350480,7514,"9,312","1,595",889,804
